Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,F_Address,Postal_Code,LATITUDE,LONGITUDE
Child_Centric,Daycare_Centre,NA,Higher Learning Montessori Preschool,NA,"211 Stonehenge Drive,Hamilton,ON",L9K 1R4,43.2165114,-79.9510694
Child_Centric,Daycare_Centre,NA,Little Sprouts Hamilton,NA,"689 West 5th Street,Hamilton,ON",L9C 3R3,43.22287843,-79.88916724
Child_Centric,Daycare_Centre,NA,"Oxford Learning, Little Readers",NA,"520 Highway # 8 ,Hamilton,ON",L8G 1G6,43.215618,-79.7133977
Child_Centric,Daycare_Centre,NA,Cornerstone Preschool,NA,"2247 Rymal Road,Hamilton,ON",L8J 2V8,43.1746794,-79.7791722
Child_Centric,Daycare_Centre,NA,Dundas Valley Montessori School,NA,"14 Kemp Drive,Hamilton,ON",L9H 2M9,43.26331942,-79.96454332
Child_Centric,Daycare_Centre,NA,Creative Me Preschool,NA,"21 Mill Street North,Hamilton,ON",L0R 2H0,43.3345831,-79.8921816
Child_Centric,Daycare_Centre,NA,Tiny Hoppers Early Learning Centres Stoney Creek Paramount,NA,"1050 Paramount Drive,Hamilton,ON",L8J 1P8,43.199503,-79.7938339
Child_Centric,Daycare_Centre,NA,TINY HOPPERS EARLY LEARNING CENTRE STONEY CREEK RYMAL,NA,"1976 Rymal Road,Hamilton,ON",L0R 1P0,43.1793137,-79.8046473
Child_Centric,Daycare_Centre,NA,Quality Foundations Childcare,NA,"221 Dundas Street,Hamilton,ON",L0R 2H6,43.2650906,-79.9445918
Child_Centric,Daycare_Centre,NA,Spring Creek Learn & Play Childcare,NA,"473 Dundas Street,Hamilton,ON",L8B 1W1,43.2650906,-79.9445918
Child_Centric,Daycare_Centre,NA,Austin Academy for Early Learners,NA,"288 Barton Street,Hamilton,ON",L8E 2K6,43.22951362,-79.72844887
Child_Centric,Daycare_Centre,NA,Ancaster Small Fry Pre-School,NA,"20 Gilbert Avenue,Hamilton,ON",L9G 1R4,43.2139612,-79.9863448
Child_Centric,Daycare_Centre,NA,Awesome Beginnings Co-operative Nursery School,NA,"1496 Centre Road,Hamilton,ON",L0R 1H2,43.39605855,-79.98106754
Child_Centric,Daycare_Centre,NA,Blossoms Child Care Centre,NA,"2605 Highway 56 ,Hamilton,ON",L0R 1C0,43.0979824,-79.814192
Child_Centric,Daycare_Centre,NA,BrightPath Waterdown,NA,"89 Hamilton Street,Hamilton,ON",L0R 2H0,43.3310038,-79.8955474
Child_Centric,Daycare_Centre,NA,St. Martin's Manor Early Learning Centre,NA,"500 Mohawk Road,Hamilton,ON",L9C 1X4,43.2291208,-79.9648564
Child_Centric,Daycare_Centre,NA,Red Hill Family Centre,NA,"25 Mount Albion Road,Hamilton,ON",L8K 5S4,43.2255269,-79.7920017
Child_Centric,Daycare_Centre,NA,Temple Playhouse Enrichment School,NA,"215 Cline Avenue,Hamilton,ON",L8S 4A1,43.2634353,-79.9025743
Child_Centric,Daycare_Centre,NA,Central Day Care Centre,NA,"101 Catharine Street,Hamilton,ON",L8N 2J5,43.2521471,-79.8665777
Child_Centric,Daycare_Centre,NA,Childventures Early Learning Academy - Ancaster,NA,"1281 Mohawk Road,Hamilton,ON",L9G 3K9,43.2334912,-79.9301425
Child_Centric,Daycare_Centre,NA,Daycare on Delaware,NA,"162 Delaware Avenue,Hamilton,ON",L8M 1V6,43.24631903,-79.8433846
Child_Centric,Daycare_Centre,NA,Church of St. Peter's Children's Day Care Centre,NA,"705 Main Street,Hamilton,ON",L8M 1K8,43.24838802,-79.84054503
Child_Centric,Daycare_Centre,NA,St. Peter's Day Care Before and After School Program,NA,"71 Maplewood Avenue,Hamilton,ON",L8M 1W7,43.24579395,-79.8370187
Child_Centric,Daycare_Centre,NA,Dundas Valley Co-operative Preschool,NA,"1 Lynndale Drive,Hamilton,ON",L9H 3L4,43.25960745,-79.96907569
Child_Centric,Daycare_Centre,NA,Dundas Valley Co-operative Preschool,NA,"86 Cameron Avenue,Hamilton,ON",L9H 1P8,43.27443385,-79.94507999
Child_Centric,Daycare_Centre,NA,Ancaster Montessori School,NA,"265 Wilson Street,Hamilton,ON",L9G 2B8,43.259008,-79.8665037
Child_Centric,Daycare_Centre,NA,Village Gate Montessori School,NA,"442 Wilson Street,Hamilton,ON",L9G 2C3,43.25445065,-79.85064617
Child_Centric,Daycare_Centre,NA,Fan-Tastic Scholars Child Learning Centre,NA,"1960 Main Street,Hamilton,ON",L8S 4N5,43.2659749,-79.9537768
Child_Centric,Daycare_Centre,NA,East End Scholars,NA,"138 Birch Avenue,Hamilton,ON",L8L 6H7,43.2572419,-79.8396957
