"Shape Area","Type","Households","Quality Flags","name","GeoUID","CSD_UID","Population","CT_UID","Dwellings","CD_UID","CMA_UID","Region Name","Area (sq km)","v_CA21_10: Total - Age","v_CA21_9: Total - Age","v_CA21_8: Total - Age","v_CA21_601: Income statistics in 2020 for the population aged 15 years and over in private households","v_CA21_646: Composition of total income in 2020 of the population aged 15 years and over in private households","v_CA21_645: Composition of total income in 2020 of the population aged 15 years and over in private households","v_CA21_600: Income statistics in 2020 for the population aged 15 years and over in private households","v_CA21_4873: Total - Visible minority for the population in private households","v_CA21_4874: Total - Visible minority for the population in private households","v_CA21_4918: Total - Ethnic or cultural origin for the population in private households","v_CA21_4919: Total - Ethnic or cultural origin for the population in private households","v_CA21_5800: Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households","v_CA21_5801: Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households","v_CA21_5809: Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households","v_CA21_5810: Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households","v_CA21_5818: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households","v_CA21_5819: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households","Longitude","Latitude"
0.1986,"DA",224,"0","35250040","35250040","3525005",480,"5370130.03",229,"3525","35537","35250040",0.1986,265,210,480,190,100,100,175,215,225,215,225,175,190,110,115,175,190,-79.9482339953382,43.2629055876622
0.1333,"DA",242,"0","35250041","35250041","3525005",415,"5370132.00",252,"3525","35537","35250041",0.1333,225,185,415,205,100,100,190,205,225,205,225,190,200,110,110,190,200,-79.9472233226918,43.2658990294367
0.0593,"DA",124,"0","35250042","35250042","3525005",261,"5370132.00",127,"3525","35537","35250042",0.0593,145,120,260,115,100,100,135,145,150,150,150,130,115,100,85,135,120,-79.946913350619,43.2688030535828
0.8141,"DA",267,"0","35250043","35250043","3525005",597,"5370131.00",272,"3525","35537","35250043",0.8141,310,285,595,285,100,100,225,275,305,275,305,225,285,145,160,225,285,-79.9370341970879,43.2642694588912
0.1241,"DA",163,"0","35250044","35250044","3525005",418,"5370131.00",163,"3525","35537","35250044",0.1241,215,200,415,180,100,100,190,210,225,210,230,190,175,110,125,190,180,-79.9370059516495,43.2619838734194
0.057,"DA",257,"0","35250045","35250045","3525005",456,"5370131.00",274,"3525","35537","35250045",0.057,230,230,455,210,100,100,235,275,245,275,250,235,210,160,150,235,210,-79.9420263511708,43.2605905193365
0.3136,"DA",195,"0","35250046","35250046","3525005",485,"5370130.02",200,"3525","35537","35250046",0.3136,255,230,485,235,100,100,235,255,270,255,265,230,235,110,125,230,235,-79.9498590888432,43.2595335675364
0.5742,"DA",249,"0","35250047","35250047","3525005",709,"5370130.02",252,"3525","35537","35250047",0.5742,405,300,710,295,100,100,245,275,310,275,310,245,295,120,140,245,295,-79.9472644252892,43.256383945331
0.1141,"DA",110,"0","35250048","35250048","3525005",300,"5370130.02",111,"3525","35537","35250048",0.1141,150,155,300,125,100,100,145,160,150,160,145,145,125,90,80,145,125,-79.9560495526084,43.2551473511552
0.1681,"DA",164,"0","35250049","35250049","3525005",431,"5370130.02",165,"3525","35537","35250049",0.1681,225,205,430,210,100,100,145,170,240,170,240,145,205,90,110,145,210,-79.9632113009772,43.252502356876
0.1489,"DA",156,"0","35250050","35250050","3525005",403,"5370130.02",158,"3525","35537","35250050",0.1489,220,190,400,170,100,100,135,160,210,155,215,140,170,75,90,135,170,-79.9667531890416,43.2517131709785
1.1704,"DA",416,"0","35250051","35250051","3525005",1170,"5370130.02",417,"3525","35537","35250051",1.1704,575,595,1170,460,100,100,440,545,520,550,525,440,460,230,245,440,460,-79.9718534272056,43.2526769064043
0.1108,"DA",128,"0","35250052","35250052","3525005",346,"5370130.02",129,"3525","35537","35250052",0.1108,175,165,345,160,100,100,155,200,195,195,200,155,160,100,90,160,160,-79.9713199612435,43.2516145782501
0.7217,"DA",233,"0","35250053","35250053","3525005",600,"5370130.03",237,"3525","35537","35250053",0.7217,295,305,600,305,100,100,280,315,345,315,345,285,305,125,145,285,300,-79.9763271280873,43.2549767924466
0.2014,"DA",133,"0","35250054","35250054","3525005",351,"5370130.03",133,"3525","35537","35250054",0.2014,175,175,355,160,100,100,110,140,195,145,195,110,160,70,100,115,160,-79.9740651683155,43.2577915241827
0.198,"DA",229,"0","35250055","35250055","3525005",573,"5370133.01",233,"3525","35537","35250055",0.198,315,260,570,240,100,100,205,245,255,240,255,205,240,90,115,205,245,-79.9779126406627,43.2593685919205
0.0536,"DA",63,"0","35250056","35250056","3525005",199,"5370133.01",63,"3525","35537","35250056",0.0536,95,100,195,85,NA,NA,85,100,95,100,95,85,90,65,65,90,90,-79.9768757714265,43.2619975691033
2.7668,"DA",445,"0","35250059","35250059","3525005",1115,"5370133.01",454,"3525","35537","35250059",2.7668,600,515,1115,560,100,100,475,525,620,520,620,475,555,280,305,475,560,-80.0055552223521,43.2569787581537
0.4845,"DA",252,"0","35250060","35250060","3525005",651,"5370130.03",256,"3525","35537","35250060",0.4845,330,320,650,305,100,100,260,310,365,310,360,260,310,135,160,255,305,-79.9994631016014,43.2533982259392
0.1828,"DA",151,"0","35250061","35250061","3525005",417,"5370130.03",152,"3525","35537","35250061",0.1828,210,210,420,150,100,100,170,195,160,190,160,170,155,65,90,165,150,-79.9796968147748,43.255943331186
10.3932,"DA",646,"0","35250062","35250062","3525005",1272,"5370124.00",681,"3525","35537","35250062",10.3932,670,605,1275,540,100,100,615,685,595,680,600,610,545,375,300,615,545,-79.9855302855683,43.2429293124531
0.1668,"DA",172,"0","35250065","35250065","3525005",504,"5370123.01",173,"3525","35537","35250065",0.1668,250,255,500,200,100,100,245,285,245,280,245,245,200,130,125,245,200,-79.9658183817055,43.2250488463384
0.2142,"DA",153,"0","35250066","35250066","3525005",404,"5370123.02",153,"3525","35537","35250066",0.2142,205,195,405,180,100,100,165,205,200,205,200,165,180,110,120,170,180,-79.9660606439676,43.2213777798083
0.3161,"DA",196,"0","35250067","35250067","3525005",602,"5370123.01",198,"3525","35537","35250067",0.3161,310,295,605,275,100,100,230,285,330,285,330,225,275,140,165,230,280,-79.9600420292671,43.2257252929939
1.4142,"DA",253,"0","35250070","35250070","3525005",844,"5370123.01",258,"3525","35537","35250070",1.4142,490,350,845,290,100,100,290,330,345,325,345,290,290,160,195,290,290,-79.9466256783564,43.2295882735254
