"Care_Category","Care_Category_Specific","Care_Category_Speciality","Name","Unit","F_Address","Postal_Code","LONGITUDE","LATITUDE","lat","long"
"Child_Centric","School",NA,"Immaculate Heart of Mary Elementary","","190 Glover Road,Hamilton,ON","",NA,NA,"43.20857365",-79.68228962
"Child_Centric","School",NA,"École secondaire Académie catholique Mère-Teresa","","50 Lisgar Court,Hamilton,ON","",NA,NA,"43.2135421",-79.82813433
"Child_Centric","School",NA,"Lawfield Elementary School","","45 Berko Street,Hamilton,ON","",NA,NA,"43.21581275",-79.850421
"Child_Centric","School",NA,"Holbrook Elementary School","","450 Sanatorium Road,Hamilton,ON","",NA,NA,"43.23752735",-79.91371381
"Child_Centric","School",NA,"Living Hope Christian School","","1045 Garth Street,Hamilton,ON","",NA,NA,"43.2274952",-79.9032182
"Child_Centric","School",NA,"New Testament Academy","","21 Jameston Avenue,Hamilton,ON","",NA,NA,"43.2230699",-79.8855949
"Child_Centric","School",NA,"École élémentaire Pavillon de la jeunesse","","105 High Street,Hamilton,ON","",NA,NA,"43.2264077",-79.82333157
"Child_Centric","School",NA,"St. Mark Elementary School","","43 Whitedeer Road,Hamilton,ON","",NA,NA,"43.1783891",-79.7854854
"Child_Centric","School",NA,"Westmount Secondary School","","39 Montcalm Drive,Hamilton,ON","",NA,NA,"43.2268454",-79.89484658
"Child_Centric","School",NA,"Westview Middle School","","60 Rolston Drive,Hamilton,ON","",NA,NA,"43.2257885",-79.89474607
"Child_Centric","School",NA,"Rehoboth Christian School","","198 Inksetter Road,Hamilton,ON","",NA,NA,"43.2646868",-80.0470921
"Child_Centric","School",NA,"Templemead Elementary School","","62 Templemead Drive,Hamilton,ON","",NA,NA,"43.19687985",-79.84817267
"Child_Centric","School",NA,"Bishop Tonnos Secondary School","","100 Pannabaker Drive,Hamilton,ON","",NA,NA,"43.20230788",-79.99506696
"Child_Centric","School",NA,"Cathy Wever Elementary School","","160 Wentworth Street North,Hamilton,ON","",NA,NA,"43.25705095",-79.84612034
"Child_Centric","School",NA,"Guy B. Brown Elementary School","","55 Braeheid Avenue,Hamilton,ON","",NA,NA,"43.32824735",-79.90896767
"Child_Centric","School",NA,"St. Anthony Daniel Elementary School","","75 Anson Avenue,Hamilton,ON","",NA,NA,"43.21278635",-79.82863616
"Child_Centric","School",NA,"St. Gabriel Elementary School","","1361 Barton Street,Hamilton,ON","",NA,NA,"43.2096058",-79.6401789
"Child_Centric","School",NA,"St. Matthew Elementary School","","200 Windwood Drive,Hamilton,ON","",NA,NA,"43.11745785",-79.81360016
"Child_Centric","School",NA,"Grace Christian School","","497 Millgrove Side Road,Hamilton,ON","",NA,NA,"43.3387908",-79.9589303
"Child_Centric","School",NA,"Greensville Elementary School","","625 Harvest Road,Hamilton,ON","",NA,NA,"43.2814219",-79.9836764
"Child_Centric","School",NA,"South Meadow Elementary School","","23 Royce Avenue,Hamilton,ON","",NA,NA,"43.215707",-79.728399
"Child_Centric","School",NA,"James Street School","","100 James Street South,Hamilton,ON","",NA,NA,"43.25421766",-79.87034549
"Child_Centric","School",NA,"Gateway Alt Ed Centre King William","","225 King William Street,Hamilton,ON","",NA,NA,"43.2555101",-79.8608288
"Child_Centric","School",NA,"Immaculate Conception Elementary School","","470 Kitty Murray Lane,Hamilton,ON","",NA,NA,"43.2093049",-79.95438628
"Child_Centric","School",NA,"St. John Paul II Elementary School","","600 Acadia Drive,Hamilton,ON","",NA,NA,"43.2032474",-79.8689382
"Child_Centric","School",NA,"Dundas Valley Secondary School","","310 Governors Road,Hamilton,ON","",NA,NA,"43.25782965",-79.97610167
"Child_Centric","School",NA,"Hamilton District Christian High School","","92 Glancaster Road,Hamilton,ON","",NA,NA,"43.2074684",-79.9288968
"Child_Centric","School",NA,"Guardian Angels Elementary School","","705 Centre Road,Hamilton,ON","",NA,NA,"43.3436462",-79.91487882
