Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,Address,Street_Name,Street_Type,Community,Province,Postal_Code,LONGITUDE,LATITUDE
Child_Centric,School,,St. Joachim Elementary School,,75,Concerto,Crescent,Ancaster,ON,,,
Child_Centric,School,,Helen Detwiler Elementary School,,320,Brigade,Drive,Hamilton,ON,,,
Child_Centric,School,,Colin Macdonald Community School,,201,Paradise,Road North,Hamilton,ON,,,
Child_Centric,School,,Central Elementary School,,75,Hunter,Street West,Hamilton,ON,,,
Child_Centric,School,,Lisgar Elementary School,,110,Anson,Avenue,Hamilton,ON,,,
Child_Centric,School,,Holy Name of Jesus Elementary School,,181,Belmont,Avenue North,Hamilton,ON,,,
Child_Centric,School,,Westdale Secondary School,,700,Main,Street West,Hamilton,ON,,,
Child_Centric,School,,St. John the Baptist Elementary School,,115,London,Street South,Hamilton,ON,,,
Child_Centric,School,,Strathcona Elementary School,,10,Lamoreaux,Street,Hamilton,ON,,,
Child_Centric,School,,Highview Elementary School,,1040,Queensdale,Avenue East,Hamilton,ON,,,
Child_Centric,School,,Janet Lee Elementary School,,291,Winterberry,Drive,Stoney Creek,ON,,,
Child_Centric,School,,Rockton Elementary School,,670,Highway 8,,Flamborough,ON,,,
Child_Centric,School,,Dundas Central Elementary School,,73,Melville,Street,Dundas,ON,,,
Child_Centric,School,,St. Francis Xavier Elementary School,,298,Highway 8,,Stoney Creek,ON,,,
Child_Centric,School,,Saltfleet Secondary School,,108,Highland,Road West,Stoney Creek,ON,,,
Child_Centric,School,,Lincoln Alexander Elementary School,,50,Ravenbury,Drive,Hamilton,ON,,,
Child_Centric,School,,Hamilton Hebrew Academy,,60,Dow,Avenue,Hamilton,ON,,,
Child_Centric,School,,Ancaster High School,,374,Jerseyville,Road West,Ancaster,ON,,,
Child_Centric,School,,Islamic School of Hamilton,,1545,Stone Church,Road East,Hamilton,ON,,,
Child_Centric,School,,Yorkview Elementary School,,86,Cameron,Avenue,Dundas,ON,,,
Child_Centric,School,,Tapleytown Elementary School,,390,Mud,Street East,Stoney Creek,ON,,,
Child_Centric,School,,Our Lady of Lourdes Elementary School,,420,Mohawk,Road East,Hamilton,ON,,,
Child_Centric,School,,Hillfield-Strathallan College,,299,Fennell,Avenue West,Hamilton,ON,,,
Child_Centric,School,,Mary Hopkins Elementary School,,211,Mill,Street North,Flamborough,ON,,,
Child_Centric,School,,St. Jean De Brebeuf Secondary School,,200,Acadia,Drive,Hamilton,ON,,,
Child_Centric,School,,St. Bernadette Elementary School,,270,Governor's,Road,Dundas,ON,,,
Child_Centric,School,,Collegiate Avenue Elementary School,,49,Collegiate,Avenue,Stoney Creek,ON,,,
Child_Centric,School,,Orchard Park Secondary School,,200,Dewitt,Road,Stoney Creek,ON,,,
Child_Centric,School,,Arrell Youth Centre,,320,Anchor,Road,Hamilton,ON,,,
Child_Centric,School,,Parkway Learning Centre,,140,Centennial,Parkway North,Hamilton,ON,,,
Child_Centric,School,,Hillcrest Elementary School,,40,Eastwood,Street,Hamilton,ON,,,
Child_Centric,School,,Immaculate Heart of Mary Elementary,,190,Glover,Road,Stoney Creek,ON,,,
